,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description
32364,2006-03-19 23:00:00,10/30/2006,2006,3,23,Spring,GBR,United Kingdom,England,Park Central,52.466667,-1.916667,Light,7200.0,2 hours,I actually saw an alien
32371,2007-03-19 11:22:00,4/27/2007,2007,3,11,Spring,USA,United States,Colorado,Colorado Springs,38.8338889,-104.8208333,Triangle,86400.0,1 day,Air Force fired projectiles of some sort at alien craft and hit them directly&#44 causing all of the craft fired upon to hit the ground.
32786,2013-03-21 18:00:00,5/15/2013,2013,3,18,Spring,USA,United States,Florida,Fort Myers,26.640628,-81.872308,,900.0,~15 minutes,This alien being was not visible at the time of the photo being taken&#44 but was visible later in the photo.
32914,2011-03-02 21:00:00,1/10/2014,2011,3,21,Spring,USA,United States,Texas,Coleman County,31.9280556,-99.3175,Chevron,60.0,1:00,Man Escapes Alien Abduction With Photo&#44s to Prove It.
33053,2009-03-22 22:00:00,4/14/2009,2009,3,22,Spring,GBR,United Kingdom,England,South End,52.47568,0.931012,Sphere,600.0,10 minutes,UfO 12 unidentified crafts aproached by possible british or United states craft  not first contact with possible aliens in this area.
33468,2006-03-25 21:30:00,5/15/2006,2006,3,21,Spring,USA,United States,Washington,Onion Creek,48.7838889,-117.8105556,Fireball,4.0,4 seconds,i thought this sighting was rather co-incidental.. i was watching SIGNS with mel gibson and joaquin phonix was about to bash an alien w
33581,2002-03-26 20:47:00,6/12/2002,2002,3,20,Spring,USA,United States,Nebraska,Lincoln,40.8,-96.6666667,Changing,360.0,6 minutes,I saw two space alien ships fighting with each other&#44 and making weird sounds and seeing different lights and shapes.
33586,2003-03-26 20:00:00,4/22/2003,2003,3,20,Spring,USA,United States,California,San Jose,37.3394444,-121.8938889,,5.0,5 seconds,Possible alien encounter.  Not UFO&#44 actual alien...
33823,2014-03-27 23:30:00,4/4/2014,2014,3,23,Spring,USA,United States,Florida,Lee County,26.625,-81.625,Unknown,30.0,30 seconds,Alien being seen running on foot on the ground.
34394,2010-03-31 01:40:00,4/13/2010,2010,3,1,Spring,IRN,Iran,Bushehr Province,دهستان چاه مبارک,27.33,52.903333,,100.0,1:40,3 Saucers land in Jordan with tall Aliens heading down from them
34417,2012-03-31 22:37:00,5/13/2012,2012,3,22,Spring,USA,United States,Utah,White City,40.5658333,-111.8636111,Triangle,300.0,5min,Alien drone craft with a mother ship over salt lake city and no one seen it but us humm??
34560,2012-03-03 17:30:00,10/30/2012,2012,3,17,Spring,USA,United States,Tennessee,Alto,35.2705556,-85.9530556,Fireball,751.0,12:31,A fireball like image falling from sky then seeing an alien days later in field.
34603,2014-03-03 23:50:00,3/18/2014,2014,3,23,Spring,USA,United States,North Carolina,Raeford,34.9808333,-79.2244444,Other,120.0,2 minutes,Fast moving like war plane like alien craft.
34716,2012-03-04 03:00:00,3/13/2012,2012,3,3,Spring,USA,United States,California,Los Angeles,34.0983333,-118.3258333,Other,300.0,5 minutes,This was an indisputable moving creature of sorts in the sky&#44 not machinery&#44 and definitely not man made or controlled. Calculated.
35064,2014-03-06 04:00:00,4/4/2014,2014,3,4,Spring,USA,United States,Utah,Salt Lake City,40.7608333,-111.8902778,Disk,18000.0,5 hours,((HOAX??))  Abduction and Oval Ufo sighting a few weeks before.  The aliens were red headed Lyrans.
35347,2007-03-08 12:30:00,4/27/2007,2007,3,12,Spring,USA,United States,Missouri,Jefferson County,38.23103,-90.525782,Unknown,7200.0,2 hours,I saw 1 craft&#44 which was it looked like a square with red and green lights.  It moved slowly at times. I&#39m not saying it&#39s an alien cra
35498,2005-03-09 19:00:00,5/11/2005,2005,3,19,Spring,USA,United States,Virginia,Gloucester Point,37.2386111,-76.51,Triangle,240.0,1-4 minutes,Possible UFO- but more importantly&#44 the alien experience
36942,2002-04-15 03:00:00,3/4/2008,2002,4,3,Spring,USA,United States,New Jersey,Kingsland,40.8119444,-74.1247222,Other,900.0,15 minutes,Small creatures from the sky
37283,2012-04-16 04:00:00,5/13/2012,2012,4,4,Spring,USA,United States,Washington,Spokane,47.6588889,-117.425,Unknown,1200.0,20 min,seen an alien
37522,1996-04-18 17:40:00,1/28/1999,1996,4,17,Spring,AUS,Australia,Queensland,Brisbane City,-27.47101,153.024292,,18000.0,5  hours  plus,Five hours plus interaction with an &quot;invisible entity&quot;.  Four persons directly in contact.  Two peripheral witnesses.  Numerous physica
37734,2006-04-19 02:30:00,5/15/2006,2006,4,2,Spring,USA,United States,Nevada,Las Vegas,36.175,-115.1363889,Light,7200.0,about 2 hrs,Four short grayish black-eyed aliens appeared in my room.
37875,1998-04-20 10:30:00,8/5/2001,1998,4,10,Spring,USA,United States,Georgia,Valdosta,30.8325,-83.2786111,Circle,30.0,30 seconds,I think this was an Alien craft because it had very a very unusual performance
38004,2011-04-20 00:00:00,5/29/2011,2011,4,0,Spring,USA,United States,Texas,Fredericksburg,30.275,-98.8716667,Disk,300.0,about 5 minutes,((HOAX??))  Aliens at Fredricksburg.
38108,2003-04-21 20:00:00,5/2/2003,2003,4,20,Spring,USA,United States,North Carolina,Concord,35.4086111,-80.5797222,Teardrop,600.0,10 minutes,Fork lift attacked by aliens craft
38197,2011-04-21 16:00:00,5/2/2011,2011,4,16,Spring,USA,United States,Kansas,Lenexa,38.9536111,-94.7333333,Other,240.0,4 min,we saw a large flat light sheet in the shape of what looked like texas it didnt make a sound and we didnt see any creatures
38274,2000-04-02 14:00:00,2/8/2005,2000,4,14,Spring,USA,United States,Iowa,Fremont,41.2125,-92.4352778,Unknown,15.0,15 sec,I had an encounter with a creature who was doing a Reptilain Hosting or demonic possession of my exwife.
38403,2014-04-02 22:00:00,4/4/2014,2014,4,22,Spring,USA,United States,Florida,Lee County,26.625,-81.625,,300.0,5 minutes,Alien in the tree?
38892,2011-04-24 15:00:00,5/2/2011,2011,4,15,Spring,USA,United States,Pennsylvania,North Mountain,41.29048,-76.577105,,5.0,5 sec.,((HOAX/STUDENT REPORT))  Flyby of a Dead Alien w/ Red Blood on it.
39038,2007-04-25 02:00:00,6/12/2007,2007,4,2,Spring,IND,India,Maharashtra,Samudrapur,20.593684,78.96288,Rectangle,900.0,15 minutes,UFO and creature sighted at 2:00 AM in the morning.
40282,1995-04-05 00:00:00,9/17/2000,1995,4,0,Spring,USA,United States,Puerto Rico,Río Grande,18.3822222,-65.8316667,Unknown,18000.0,5 hours,alien body photographed
40298,1998-04-05 19:00:00,9/2/2005,1998,4,19,Spring,USA,United States,Georgia,Wheeler County,32.165622,-82.900075,Disk,600.0,10 minutes,UFO/ALIEN LANDING
40337,2004-04-05 11:00:00,4/9/2004,2004,4,11,Spring,USA,United States,Tennessee,Newport,35.9669444,-83.1877778,Other,40.0,30 to 40 sec.,Strange creature
40976,2001-04-09 12:05:00,4/28/2001,2001,4,12,Spring,PHL,Philippines,Las Piñas,Las Piñas,14.444546,120.993874,Oval,300.0,5 mins,Daytime UFO with Alien on Board.  See pictures at:  www.txtct.com
40987,2004-04-09 10:02:00,4/27/2004,2004,4,10,Spring,USA,United States,Maryland,Ellicott City,39.2672222,-76.7986111,Other,60.0,1 minute,alien sited walking dog in ellicott city&#44md 04/09/04
41169,1995-05-10 03:00:00,11/2/1999,1995,5,3,Spring,USA,United States,Missouri,Columbia,38.9516667,-92.3338889,,120.0,2 min.,Man repts. son&#39s bizarre sighting of small humanoid creature in back yard.  Reptd. in Acteon Journal&#44 St. Louis UFO newsletter.
41230,2004-05-10 15:41:00,10/27/2004,2004,5,15,Spring,GBR,United Kingdom,England,Ayot St. Lawrence,51.833333,-0.25,Changing,540.0,9 minutes,GLOBULAR ALIEN?
41650,2001-05-01 23:00:00,5/24/2005,2001,5,23,Spring,USA,United States,Maine,Owls Head,44.0822222,-69.0577778,Diamond,15.0,15 seconds,Must have been an alien satalite sent to scan our planet...doubtful it was a ship carrying actual aliens
42480,2001-05-15 18:30:00,12/12/2011,2001,5,18,Spring,CAN,Canada,Ontario,St. Thomas,42.783333,-81.183333,Oval,600.0,10 min.,Aliens prepared to protect themselves from other aliens
43114,1991-05-19 00:00:00,2/1/2007,1991,5,0,Spring,FRA,France,Grand Est,Épernay,49.043411,3.956242,Other,10800.0,2-3 hours,When penetrating to the inner core of the aliens light signals were sent by you&#33
43213,2010-05-19 01:00:00,2/8/2011,2010,5,1,Spring,USA,United States,Arizona,Congress,34.1625,-112.85,Sphere,900.0,15 minutes,I can describe it&#44 but I still don&#39t know what it was:  alien probe&#44 military&#44 possible living organism.
43233,2012-05-19 04:55:00,5/29/2012,2012,5,4,Spring,USA,United States,Florida,Orlando,28.5380556,-81.3794444,Light,300.0,5 minutes,Tried to watch shuttle launch&#44 ended up seeing aliens.
43532,2001-05-21 23:00:00,8/11/2004,2001,5,23,Spring,USA,United States,California,La Mesa,32.7677778,-117.0222222,Unknown,300.0,5 minutes,TWO ALIENS CAME TO MY ROOM - PLEASE READ THIS IS SERIOUS
44069,2013-05-23 03:30:00,7/3/2013,2013,5,3,Spring,USA,United States,Colorado,Cañon City,38.4,-105.2166667,Chevron,900.0,15 minutes,A MYSTERIOUS&#44 UNIQUE SIGHTING OF THREE ALIENS IN BROAD DAYLIGHT.
44768,2009-05-28 03:00:00,6/3/2010,2009,5,3,Spring,USA,United States,California,San Leandro,37.725,-122.155,Unknown,5.0,5 seconds,On april 28 2009 at 3 am pacific time an alien appeared in the living room as i was sleeping on the couch.
44976,2012-05-29 23:30:00,7/4/2012,2012,5,23,Spring,USA,United States,Virginia,Scott County,36.6377778,-82.5811111,,20.0,20 seconds,three unidentified creatures spotted from only 10-15 yards away.
45364,2009-05-03 13:32:00,5/12/2009,2009,5,13,Spring,CHE,Switzerland,Bern,Grindelwald,46.624893,8.030959,Unknown,180.0,3minutes,Me and two friends saw an alien ship that looked like the ones on Star Wars.
45373,2010-05-03 16:00:00,11/21/2010,2010,5,16,Spring,USA,United States,Illinois,McHenry,42.3333333,-88.2666667,,30.0,30 sec.,I saw living creatures swooping in and  out of a cloud
45546,2011-05-04 00:00:00,5/12/2011,2011,5,0,Spring,USA,United States,Pennsylvania,Dauphin County,40.2858333,-76.6505556,,604800.0,1 week,Alien Abduction Scar/Marks???
45658,1999-05-05 23:00:00,6/12/2002,1999,5,23,Spring,USA,United States,Arizona,Phoenix,33.4483333,-112.0733333,Light,30.0,several hours,body experiments by aliens
45885,2003-05-06 22:30:00,5/13/2003,2003,5,22,Spring,GBR,United Kingdom,England,Oxford,51.75,-1.25,Light,60.0,about a minute,It was basicly a point of white light. it would be best described not as an alien ship&#44 more a UFO. it was too high up to be a airoplan
46667,2012-06-10 01:00:00,9/30/2013,2012,6,1,Summer,USA,United States,Michigan,Clinton Township,42.586888,-82.919551,Other,900.0,15 minutes,I SEEN A GREY ALIEN UP CLOSE
46705,1993-06-11 01:00:00,8/5/2012,1993,6,1,Summer,USA,United States,Maryland,Lusby,38.4105556,-76.4555556,Other,32400.0,9 hours,Possible alien encounter and or abduction in 1993.
46894,1956-06-01 19:00:00,1/28/1999,1956,6,19,Summer,USA,United States,Missouri,Belton,38.8119444,-94.5316667,Other,600.0,10min.,THE EVENT WAS A PERSONAL CONTACT WITH AN ALIEN. SINCE I WAS ABOUT 6 YEARS OLD AND IT HAS BEEN A LONG TIME FORGIVE ME ANY DESCREPANCIES
47089,1973-06-01 03:00:00,7/4/2012,1973,6,3,Summer,USA,United States,Washington,Oak Harbor,48.2933333,-122.6419444,Unknown,30.0,30 seconds,alien in the woods
47262,1979-06-01 21:00:00,10/30/2006,1979,6,21,Summer,USA,United States,Pennsylvania,Victory Heights,41.3630556,-79.7622222,Light,900.0,15 minutes,Lights and some kind of being (creature) starring back at me.......
47351,1984-06-01 00:00:00,7/1/2002,1984,6,0,Summer,AUS,Australia,Western Australia,Perth,-31.95224,115.861397,,1200.0,20 minutes,I encountered three small grey creatures and a rolling ball of light while walking at a near by lake.
47412,1987-06-01 02:30:00,11/28/2007,1987,6,2,Summer,USA,United States,California,San Francisco,37.775,-122.4183333,Other,14400.0,2-4 hours,Abduction case&#44with 1 twist. Aliens left  unearthly communications object as proof of contact&#33  500 Lights On Object0: Yes
47461,1989-06-01 23:00:00,8/14/2007,1989,6,23,Summer,USA,United States,New York,New York,40.7141667,-74.0063889,Unknown,10800.0,3 hours,Alien working in a store in a busy neigborhood blending in with us.
47525,1993-06-01 01:00:00,4/4/2014,1993,6,1,Summer,USA,United States,California,Bella Vista,40.6408333,-122.2313889,Other,2400.0,40 minutes,Aggressive&#44 Levitating Metallic Alien Robot thing
47535,1993-06-01 17:30:00,5/15/2013,1993,6,17,Summer,USA,United States,Colorado,Colorado Springs,38.8338889,-104.8208333,Cigar,900.0,15 minutes,Saw a UFO and spoke to a possible alien.
47582,1995-06-01 02:00:00,9/12/2003,1995,6,2,Summer,USA,United States,Virginia,Catalpa Hills,38.4730556,-77.9969444,Unknown,300.0,5 minutes,alien abduction
47587,1995-06-01 11:00:00,2/8/2011,1995,6,11,Summer,MEX,Mexico,Jalisco,Jalostotitlán,21.167823,-102.467375,Other,15.0,1/2 hour,Contact with aliens in a small craft in the state of jalisco Mexico .
48155,2012-06-12 03:00:00,6/14/2012,2012,6,3,Summer,USA,United States,New York,New York,40.7141667,-74.0063889,Other,5.0,5 seconds,UFO appears to be a metal looking creature with many antennas and a hole that has an opening appearing to be either the nose or mouth.
48240,2003-06-13 23:00:00,6/18/2003,2003,6,23,Summer,USA,United States,Tennessee,Springfield,36.5091667,-86.885,Sphere,30.0,30 seconds,Winesssed Glowing white/blue neon sphere and aliens in field while camping with my buddy.
48358,1962-06-14 02:00:00,5/14/2002,1962,6,2,Summer,CAN,Canada,Saskatchewan,Yorkton,51.216667,-102.466667,Disk,60.0,45 - 60 seconds,Dull aluminum alien space craft &#44silent&#44motionless hover&#44150 Ft. away&#44crystal clear view&#44country sighting&#44SCARY then&#33
48568,1947-06-15 14:00:00,12/3/2004,1947,6,14,Summer,USA,United States,North Dakota,Gackle,46.6258333,-99.1416667,Other,3600.0,aprox. 1 hour,Alien hawk sighted in North Dakota
48605,1959-06-15 01:00:00,6/6/2000,1959,6,1,Summer,USA,United States,Montana,Missoula,46.8722222,-113.9930556,Unknown,20.0,20 consec nights,Twenty nights of stalking&#44 apparent abduction attempts by Grey &quot;alien&quot; creatures&#44 1959.
48648,1966-06-15 04:00:00,5/13/2012,1966,6,4,Summer,USA,United States,Wisconsin,Stoughton,42.9169444,-89.2177778,Sphere,5.0,one hour,Our family abducted by aliens near Stoughton&#44 Wisconsin in Summer of 1966
48743,1974-06-15 13:00:00,3/4/2008,1974,6,13,Summer,USA,United States,Minnesota,Austin,43.6666667,-92.9744444,Other,7200.0,2hrs,brilliant multicolored cloudshaped entity (a pulsing cloud of beaming color)
48840,1979-06-15 03:00:00,7/4/2012,1979,6,3,Summer,USA,United States,Ohio,Summit County,41.3116667,-81.5683333,Unknown,120.0,2 minutes,In Ohio around 1979 I had and encounter with 3 aliens. 500 Lights On Object0: Yes
48934,1986-06-15 03:00:00,3/21/2003,1986,6,3,Summer,USA,United States,Indiana,Gary,41.5933333,-87.3463889,Other,30.0,30secs,I Saw An Alien Face To Face
49570,2009-06-16 12:00:00,8/5/2009,2009,6,12,Summer,USA,United States,California,Modesto,37.6391667,-120.9958333,Flash,180.0,one hour,Glowing different colors alien space craft.  ((NUFORC Note:  Possible sighting of &quot;twinkling&quot; stars?  PD))
49813,2012-06-17 19:00:00,6/20/2012,2012,6,19,Summer,USA,United States,Maryland,Baltimore,39.2902778,-76.6125,Sphere,600.0,10 minutes,Our alien ancestors are really starting to make there present felt.
50370,2001-06-20 01:00:00,6/3/2010,2001,6,1,Summer,USA,United States,Arizona,Tucson,32.2216667,-110.9258333,Unknown,15.0,15 sec,Flying creature in the sky&#44 with form of human dark skin. And moved in a floating motion.  ((NUFORC Note:  Serious report??  PD))
50497,2010-06-20 01:00:00,6/23/2010,2010,6,1,Summer,USA,United States,Illinois,Blue Island,41.6572222,-87.68,Circle,300.0,5 minutes,the alien craft was black and disk shaped and it traveled so fast it literally disappeared and appeared to great distances.
50583,1992-06-21 21:00:00,12/12/2009,1992,6,21,Summer,USA,United States,New York,Conesus,42.7188889,-77.6766667,Unknown,120.0,1-2 minutes,Eye contact with Creature
51026,2007-06-22 08:00:00,8/7/2007,2007,6,8,Summer,NZL,New Zealand,Auckland,Auckland,-36.84846,174.763332,Chevron,600.0,10 minutes,There were three alien craft in the sky over Auckland. 500 Lights On Object0: Yes
51686,2002-06-25 03:00:00,7/26/2002,2002,6,3,Summer,USA,United States,Minnesota,Waconia,44.8508333,-93.7866667,Light,30.0,30 sec,I saw an alien
51749,2007-06-25 23:00:00,8/7/2007,2007,6,23,Summer,USA,United States,California,San Juan Capistrano,33.5016667,-117.6616667,Disk,20.0,20 secs,((HOAX))  Gray Type A Alien form in metallic saucer with red glow and yellow beams.
51807,2012-06-25 00:00:00,7/4/2012,2012,6,0,Summer,USA,United States,Mississippi,Walls,34.9577778,-90.1516667,Triangle,2400.0,40 minutes,Light Signals to music. Ship. Creature.
52615,1957-06-30 03:30:00,7/3/2013,1957,6,3,Summer,USA,United States,Michigan,Birmingham,42.5466667,-83.2113889,Unknown,300.0,5 minutes,Grey alien drills into my back when I was a child in the 1950&#39s
52648,1963-06-30 21:00:00,10/8/2007,1963,6,21,Summer,GBR,United Kingdom,England,Allesley,52.416667,-1.55,Circle,15.0,15 seconds,Very close encounter which has changed my views on alien life forever.
52812,1982-06-30 03:00:00,10/30/2006,1982,6,3,Summer,GBR,United Kingdom,England,Beeby,52.664913,-1.034894,,1200.0,15-20 min,Alien standing at the bottom of my bed.
52952,2000-06-30 15:00:00,6/3/2010,2000,6,15,Summer,USA,United States,Pennsylvania,Springboro,41.8005556,-80.3691667,Circle,1800.0,30 min,i saw a ufo land and aliens come out
53045,2004-06-30 17:55:00,8/11/2004,2004,6,17,Summer,USA,United States,Nevada,Las Vegas,36.175,-115.1363889,Circle,5.0,3-5 second,An alien space or an u.f.o that is not an alien space craft.
53175,2010-06-30 01:00:00,5/15/2013,2010,6,1,Summer,USA,United States,California,Garberville,40.1002778,-123.7938889,,60.0,1 minute,((HOAX??))  Saw ALIENS WALK THROUGH A PORTAL&#33&#33
53197,2011-06-30 17:00:00,7/6/2011,2011,6,17,Summer,USA,United States,Kentucky,Richmond,37.7477778,-84.2947222,Cigar,1200.0,20 min,UFO spotted in Richmond&#44Ky near The Bluegrass Army Depot..??Is this Aliens or Government cover up
